51131,Vesta,14 wiszace,Lampa Bhutan Wisząca,100,szt.,197,1,23%,100,0,100,auto,14 dni,4.51,6,,,https://swiatlo-w-domu.pl/wp-content/uploads/2018/12/51131-51132-Milan-lampa-wisząca-antyk-miedź.jpg,https://swiatlo-w-domu.pl/wp-content/uploads/2018/12/51131-51132-Milan-lampa-wisząca-antyk-miedź.png,https://swiatlo-w-domu.pl/wp-content/uploads/2018/05/Milan-antique-copper.png,,,E14,1,40W,antyk miedź,,,25/120 cm
51122,Vesta,14 wiszace,Lampa Białoruś Wisząca,100,szt.,247,1,23%,100,0,100,auto,14 dni,4.79,11,,,https://swiatlo-w-domu.pl/wp-content/uploads/2018/11/51121-51122-Milan-lampa-wisząca-antyk-brąz.jpg,https://swiatlo-w-domu.pl/wp-content/uploads/2018/11/51121-51122-Milan-lampa-wisząca-antyk-brąz.png,https://swiatlo-w-domu.pl/wp-content/uploads/2018/05/Milan-antique-bronze.png,,,E27,1,60W,antyk brąz,,,30/120 cm
51132,Vesta,14 wiszace,Lampa Boliwia Wisząca,100,szt.,247,1,23%,100,0,100,auto,14 dni,4.54,7,,,https://swiatlo-w-domu.pl/wp-content/uploads/2018/12/51131-51132-Milan-lampa-wisząca-antyk-miedź.jpg,https://swiatlo-w-domu.pl/wp-content/uploads/2018/12/51131-51132-Milan-lampa-wisząca-antyk-miedź.png,https://swiatlo-w-domu.pl/wp-content/uploads/2018/05/Milan-antique-copper.png,,,E27,1,60W,antyk miedź,,,30/120 cm
51123,Vesta,16 kinkiety,Lampa Bośnia i Hercegowina Kinkiet,100,szt.,220,1,23%,100,0,100,auto,14 dni,4.77,20,,,https://swiatlo-w-domu.pl/wp-content/uploads/2018/11/51123-Milan-kinkiet-antyk-brąz.png,https://swiatlo-w-domu.pl/wp-content/uploads/2018/05/Milan-antique-bronze.png,,,,E14,1,40W,antyk brąz,,,
51133,Vesta,16 kinkiety,Lampa Botswana Kinkiet,100,szt.,220,1,23%,100,0,100,auto,14 dni,4.9,14,,,https://swiatlo-w-domu.pl/wp-content/uploads/2018/12/51133-Milan-kinkiet-antyk-miedź.png,https://swiatlo-w-domu.pl/wp-content/uploads/2018/05/Milan-antique-copper.png,,,,E14,1,40W,antyk miedź,,,
17121,Vesta,14 wiszace,Lampa Brazylia Wisząca,100,szt.,156,1,23%,100,0,100,auto,14 dni,4.87,13,,,https://swiatlo-w-domu.pl/wp-content/uploads/2018/05/Loft-lampa-wisząca-D25-17121-biało-złoty-z-brązem.png,https://swiatlo-w-domu.pl/wp-content/uploads/2018/05/Loft-pendant-25.png,,,,E14,1,40W,biało-złoty z brązem,,25 cm,20/140 cm
17221,Vesta,14 wiszace,Lampa Brunei Wisząca,100,szt.,156,1,23%,100,0,100,auto,14 dni,4.64,14,,,https://swiatlo-w-domu.pl/wp-content/uploads/2018/05/Loft-lampa-wisząca-D25-17221-szary-z-brązem.png,https://swiatlo-w-domu.pl/wp-content/uploads/2018/05/Loft-pendant-25.png,,,,E14,1,40W,szary z brązem,,25 cm,20/140 cm
17321,Vesta,14 wiszace,Lampa Bułgaria Wisząca,100,szt.,156,1,23%,100,0,100,auto,14 dni,4.76,9,,,https://swiatlo-w-domu.pl/wp-content/uploads/2018/05/Loft-lampa-wisząca-D25-17321-czarny-z-brązem.png,https://swiatlo-w-domu.pl/wp-content/uploads/2018/05/Loft-pendant-25.png,,,,E14,1,40W,czarny z brązem,,25 cm,20/140 cm
19121,Vesta,14 wiszace,Lampa Burkina Faso Wisząca,100,szt.,156,1,23%,100,0,100,auto,14 dni,4.71,14,,,https://swiatlo-w-domu.pl/wp-content/uploads/2018/05/Loft-lampa-wisząca-D25-19121-biało-złoty-ze-złotem.png,https://swiatlo-w-domu.pl/wp-content/uploads/2018/05/Loft-pendant-25.png,,,,E14,1,40W,biało-złoty ze złotem,,25 cm,20/140 cm
19321,Vesta,14 wiszace,Lampa Burundi Wisząca,100,szt.,156,1,23%,100,0,100,auto,14 dni,4.54,17,,,https://swiatlo-w-domu.pl/wp-content/uploads/2018/05/Loft-lampa-wisząca-D25-19321-czarny-ze-złotem.png,https://swiatlo-w-domu.pl/wp-content/uploads/2018/05/Loft-pendant-25.png,,,,E14,1,40W,czarny ze złotem,,25 cm,20/140 cm
