MOD807-PL-01-48-W,-,Modern,Nola,Maytoni Modern,Metal frame. Various diameters of pendants. Modern design using LED module.,White,77,153,-,-,-,-,-,Metal,1000,-,-,-,800,40,180,-,-,-,-,-,48W,2900,A++-A,20,940,No,Yes,Pendant,4251110013213,"0,86",0.05,0.1,"1,26","4,30",592,Maytoni Modern,Modern,Nola,Pendant ,White,37,,153 €,  789.33 PLN ,1000,800, - , - ,LED  48W,0,0.06
MOD807-PL-02-85-W,-,Modern,Nola,Maytoni Modern,Metal frame. Various diameters of pendants. Modern design using LED module.,White,134,269,-,-,-,-,-,Metal,1000,-,-,-,800,40,220,-,-,-,-,-,85W,4800,A++-A,20,840,No,Yes,Pendant,4251110013268,"0,86",0.05,0.1,"2,10","5,20",592,Maytoni Modern,Modern,Nola,Pendant ,White,37,,269 €,"  1,387.77 PLN ",1000,800, - , - ,LED  85W,0,0.06
MOD807-WL-01-18-W,-,Modern,Nola,Maytoni Modern,Metal frame. Various diameters of pendants. Modern design using LED module.,White,27,53,-,-,-,-,-,Metal,280,-,280,48,-,-,-,120,48,45,-,-,18W,1000,A++-A,20,-,No,Yes,Sconce,4251110013299,"0,34",0.05,0.1,"0,44","0,98",87,Maytoni Modern,Modern,Nola,Sconce,White,37,,53 €,  273.43 PLN ,280,-,280,48,LED  18W,0,0.01
MOD808-PL-01-46-W,-,Modern,Ravello,Maytoni Modern,Metal frame. Modern design using LED module.,White,78,157,-,-,-,-,-,Metal,1000,-,400,85,-,50,180,-,-,-,-,-,46W,4600,A++-A,20,950,No,Yes,Pendant,4251110013329,"0,46",0.065,0.1,"2,18","3,24",275,Maytoni Modern,Modern,Ravello,Pendant,White,38,,157 €,  809.96 PLN ,1000, - ,400,85,LED 46W,0,0.00
MOD808-PL-01-70-W,-,Modern,Ravello,Maytoni Modern,Metal frame. Modern design using LED module.,White,104,209,-,-,-,-,-,Metal,1000,-,600,85,-,50,230,-,-,-,-,-,70W,6700,A++-A,20,850,No,Yes,Pendant,4251110013336,"0,66",0.065,0.1,"3,24","5,32",566,Maytoni Modern,Modern,Ravello,Pendant,White,38,,209 €,"  1,078.23 PLN ",1000, - ,600,85,LED 70W,0,0.00
MOD808-PL-02-115-W,-,Modern,Ravello,Maytoni Modern,Metal frame. Modern design using LED module.,White,169,337,-,-,-,-,-,Metal,1000,-,602,85,-,50,230,-,-,-,-,-,115W,10300,A++-A,20,850,No,Yes,Pendant,4251110013343,"0,66",0.065,0.09,"5,12","7,20",566,Maytoni Modern,Modern,Ravello,Pendant,White,38,,337 €,"  1,738.58 PLN ",1000, - ,602,85,LED  115W,0,0.00
MOD446-22-N,-,Modern,Nastro,Maytoni Modern,Metal frame. Modern design using a LED module.,Matt Silver,96,192,-,-,-,-,-,Metal,470,-,-,-,530,55,140,-,-,-,-,-,38W,1525,A++-A,20,-,No,Yes,Ceiling lamp,4251110006208,"0,56",0.1,0.1,"1,80",4,"1,286",Maytoni Modern,Modern,Nastro,Ceiling lamp,Matt Silver,40,,192 €,  990.53 PLN ,470,530, - , - ,LED 38W,0,0.13
MOD446-11-N,-,Modern,Nastro,Maytoni Modern,Metal frame. Modern design using a LED module.,Matt Silver,54,108,-,-,-,-,-,Metal,530,-,230,180,230,-,-,180,55,180,-,-,15W,900,A++-A,20,-,No,Yes,Table lamp,4251110006239,"0,28",0.1,0.1,"1,50","2,50",447,Maytoni Modern,Modern,Nastro,Table lamp,Matt Silver,40,,108 €,  557.17 PLN ,530,230,230,180,LED  15W,0,0.04
MOD446-01-N,-,Modern,Nastro,Maytoni Modern,Metal frame. Modern design using a LED module.,Matt Silver,64,129,-,-,-,-,-,Metal,430,-,-,-,470,55,140,-,-,-,-,-,26W,1144,A++-A,20,-,No,Yes,Ceiling lamp,4251110006215,"0,52","0,52","0,45","1,40","3,70","1,217",Maytoni Modern,Modern,Nastro,Ceiling lamp,Matt Silver,41,,129 €,  665.51 PLN ,430,470, - , - ,LED  26W,0,0.12
MOD446-02-N,-,Modern,Nastro,Maytoni Modern,Metal frame. Modern design using a LED module.,Matt Silver,49,97,-,-,-,-,-,Metal,210,-,370,240,-,45,150,150,55,150,-,-,12W,750,A++-A,20,-,No,Yes,Sconce,4251110006222,"0,41","0,25","0,27",1,"1,50",277,Maytoni Modern,Modern,Nastro,Sconce,Matt Silver,41,,97 €,  500.42 PLN ,210, - ,370,240,LED 12W,0,0.03
